"รหัสสมาชิก,สาขา,ชื่อ-สกุล,เพศ,อายุผู้กู้,สถานภาพ,จำนวนบุตร,อาชีพ,ประเภทรายได้,รายได้,ที่อยู่"
"0140000001,อาเซี่ยนมอลล์,มูฮัมหมัด สะมะแอ,ชาย,32,สมรส,1,พนักงานเอกชน/พนักงานบริษัทเอกชน,รายได้ประจำ,18500,ปัตตานี"
"0140000002,อาเซี่ยนมอลล์,ฟาติมะห์ หะยีเต๊ะ,หญิง,45,สมรส,3,ค้าขาย/ธุรกิจส่วนตัว,รายได้ไม่ประจำ,35000,ยะลา"
"0140000003,อาเซี่ยนมอลล์,อับดุลเลาะ มามะ,ชาย,29,โสด,0,ข้าราชการ/รัฐวิสาหกิจ,รายได้ประจำ,22000,นราธิวาส"
"0140000004,อาเซี่ยนมอลล์,ซารีนา ดอเลาะ,หญิง,21,โสด,0,นักศึกษา,รายได้ไม่ประจำ,6000,สงขลา"
"0140000005,อาเซี่ยนมอลล์,ฮาซัน อาแว,ชาย,38,สมรส,2,ช่าง/รับเหมาก่อสร้าง,รายได้ไม่ประจำ,28000,ปัตตานี"
"0140000006,อาเซี่ยนมอลล์,มารียาม ยูโซ๊ะ,หญิง,50,หม้าย/หย่าร้าง,2,เกษตรกรรม,รายได้ไม่ประจำ,15000,ยะลา"
"0140000007,อาเซี่ยนมอลล์,สมชาย มะสาและ,ชาย,41,สมรส,2,อาชีพอิสระ/งานบริการ,รายได้ไม่ประจำ,18000,สงขลา"
"0140000008,อาเซี่ยนมอลล์,นูรไอนี เจ๊ะเต๊ะ,หญิง,26,โสด,0,พนักงานเอกชน/พนักงานบริษัทเอกชน,รายได้ประจำ,15500,นราธิวาส"
"0140000009,อาเซี่ยนมอลล์,อิสมาแอล บินอาลี,ชาย,62,สมรส,4,ผู้รับบำนาญ,รายได้ประจำ,25000,ปัตตานี"
"0140000010,อาเซี่ยนมอลล์,คอลีเยาะ สามะ,หญิง,34,สมรส,1,วิชาชีพเฉพาะ,รายได้ประจำ,45000,ยะลา"
"0140000011,อาเซี่ยนมอลล์,แวดาโอ๊ะ เจะอาแว,ชาย,28,โสด,0,รับจ้าง/ลูกจ้างทั่วไป,รายได้ไม่ประจำ,12000,สงขลา"
"0140000012,อาเซี่ยนมอลล์,ซูไรดา มะลี,หญิง,40,หม้าย/หย่าร้าง,1,ค้าขาย/ธุรกิจส่วนตัว,รายได้ไม่ประจำ,42000,ปัตตานี"
"0140000013,อาเซี่ยนมอลล์,อาหมัด กาเจ,ชาย,35,สมรส,2,ข้าราชการ/รัฐวิสาหกิจ,รายได้ประจำ,27500,นราธิวาส"
"0140000014,อาเซี่ยนมอลล์,อามีเนาะ สะนิ,หญิง,22,โสด,0,นักศึกษา,รายได้ไม่ประจำ,5000,ยะลา"
"0140000015,อาเซี่ยนมอลล์,สุไลมาน เจะดอเลาะ,ชาย,47,สมรส,3,เกษตรกรรม,รายได้ไม่ประจำ,18000,ปัตตานี"
"0140000016,อาเซี่ยนมอลล์,ฮาลีมะ โต๊ะตาหยง,หญิง,55,หม้าย/หย่าร้าง,2,ค้าขาย/ธุรกิจส่วนตัว,รายได้ไม่ประจำ,22000,สงขลา"
"0140000017,อาเซี่ยนมอลล์,ยะหา วาแม,ชาย,31,โสด,0,ช่าง/รับเหมาก่อสร้าง,รายได้ไม่ประจำ,20000,นราธิวาส"
"0140000018,อาเซี่ยนมอลล์,รอกีเยาะ สาเมาะ,หญิง,39,สมรส,2,อาชีพอิสระ/งานบริการ,รายได้ไม่ประจำ,16000,ยะลา"
"0140000019,อาเซี่ยนมอลล์,อับดุลรอซะ บาโง,ชาย,25,โสด,0,พนักงานเอกชน/พนักงานบริษัทเอกชน,รายได้ประจำ,17000,ปัตตานี"
"0140000020,อาเซี่ยนมอลล์,ซาฟีอี สะมะแอ,ชาย,60,สมรส,3,ผู้รับบำนาญ,รายได้ประจำ,18000,สงขลา"
"0120000021,รูสะมิแล,นาดียา หะยีเต๊ะ,หญิง,33,สมรส,1,วิชาชีพเฉพาะ,รายได้ประจำ,52000,ปัตตานี"
"0120000022,รูสะมิแล,ยูโซ๊ะ มามะ,ชาย,42,หม้าย/หย่าร้าง,2,รับจ้าง/ลูกจ้างทั่วไป,รายได้ไม่ประจำ,10000,ยะลา"
"0120000023,รูสะมิแล,รอฮานี ดอเลาะ,หญิง,28,โสด,0,ข้าราชการ/รัฐวิสาหกิจ,รายได้ประจำ,19500,นราธิวาส"
"0120000024,รูสะมิแล,ฮูเซ็น อาแว,ชาย,36,สมรส,2,ค้าขาย/ธุรกิจส่วนตัว,รายได้ไม่ประจำ,65000,สงขลา"
"0120000025,รูสะมิแล,อานิส ยูโซ๊ะ,หญิง,20,โสด,0,นักศึกษา,รายได้ไม่ประจำ,8000,ปัตตานี"
"0120000026,รูสะมิแล,ดนัย มะสาและ,ชาย,48,สมรส,3,เกษตรกรรม,รายได้ไม่ประจำ,25000,ยะลา"
"0120000027,รูสะมิแล,นูรฮายาตี เจ๊ะเต๊ะ,หญิง,30,โสด,0,พนักงานเอกชน/พนักงานบริษัทเอกชน,รายได้ประจำ,21000,นราธิวาส"
"0120000028,รูสะมิแล,สุรศักดิ์ บินอาลี,ชาย,52,สมรส,2,ช่าง/รับเหมาก่อสร้าง,รายได้ไม่ประจำ,35000,สงขลา"
"0120000029,รูสะมิแล,นุสรา สามะ,หญิง,44,หม้าย/หย่าร้าง,1,อาชีพอิสระ/งานบริการ,รายได้ไม่ประจำ,14500,ปัตตานี"
"0120000030,รูสะมิแล,ฟิรดาวส์ เจะอาแว,ชาย,27,โสด,0,วิชาชีพเฉพาะ,รายได้ประจำ,38000,ยะลา"
"0120000031,รูสะมิแล,อิมรอน มะลี,ชาย,65,สมรส,4,ผู้รับบำนาญ,รายได้ประจำ,21000,นราธิวาส"
"0120000032,รูสะมิแล,ไซนะ กาเจ,หญิง,37,สมรส,2,ค้าขาย/ธุรกิจส่วนตัว,รายได้ไม่ประจำ,28000,สงขลา"
"0120000033,รูสะมิแล,แวอูเซ็ง สะนิ,ชาย,24,โสด,0,รับจ้าง/ลูกจ้างทั่วไป,รายได้ไม่ประจำ,9500,ปัตตานี"
"0120000034,รูสะมิแล,ซัลมา เจะดอเลาะ,หญิง,49,สมรส,3,เกษตรกรรม,รายได้ไม่ประจำ,12000,ยะลา"
"0120000035,รูสะมิแล,วันมูฮัมหมัด โต๊ะตาหยง,ชาย,35,สมรส,1,ข้าราชการ/รัฐวิสาหกิจ,รายได้ประจำ,26000,นราธิวาส"
"0120000036,รูสะมิแล,รุสมี วาแม,หญิง,29,โสด,0,พนักงานเอกชน/พนักงานบริษัทเอกชน,รายได้ประจำ,19000,สงขลา"
"0120000037,รูสะมิแล,อารีฟ สาเมาะ,ชาย,21,โสด,0,นักศึกษา,รายได้ไม่ประจำ,7500,ปัตตานี"
